timestamp,plugs,hvac,total
2017-01-01 00:00:00,81.36,4.43,85.78999999999999
2017-01-01 01:00:00,79.18,3.36,82.54
2017-01-01 02:00:00,79.16000000000003,3.1100000000000003,82.27000000000002
2017-01-01 03:00:00,73.16,3.7,76.86
2017-01-01 04:00:00,78.60000000000002,3.73,82.33000000000003
2017-01-01 05:00:00,74.04,3.07,77.11
2017-01-01 06:00:00,92.7,6.46,99.16
2017-01-01 07:00:00,168.24,15.339999999999998,183.58
2017-01-01 08:00:00,158.01999999999995,15.23,173.24999999999994
2017-01-01 09:00:00,138.64,14.799999999999995,153.43999999999997
2017-01-01 10:00:00,133.86,14.66,148.52
2017-01-01 11:00:00,138.64,16.21,154.85
2017-01-01 12:00:00,142.45999999999995,17.9,160.35999999999996
2017-01-01 13:00:00,139.94,18.26,158.2
2017-01-01 14:00:00,140.9,18.64,159.54000000000002
2017-01-01 15:00:00,145.2,13.79,158.98999999999998
2017-01-01 16:00:00,143.86,14.41,158.27
2017-01-01 17:00:00,122.84,13.029999999999998,135.87
2017-01-01 18:00:00,79.5,3.97,83.47
2017-01-01 19:00:00,80.14,4.29,84.43
2017-01-01 20:00:00,80.75999999999998,3.67,84.42999999999998
2017-01-01 21:00:00,76.7,4.44,81.14
2017-01-01 22:00:00,67.36000000000001,3.69,71.05000000000001
2017-01-01 23:00:00,69.14,3.97,73.11
2017-01-02 00:00:00,69.16000000000001,3.71,72.87
2017-01-02 01:00:00,68.54,4.029999999999999,72.57000000000001
2017-01-02 02:00:00,67.9,3.93,71.83000000000001
2017-01-02 03:00:00,65.4,3.6999999999999993,69.10000000000001
2017-01-02 04:00:00,69.6,3.77,73.36999999999999
2017-01-02 05:00:00,83.26,7.67,90.93
2017-01-02 06:00:00,155.1,14.63,169.73
2017-01-02 07:00:00,121.48,14.09,135.57
2017-01-02 08:00:00,150.26,14.41,164.67
2017-01-02 09:00:00,164.56,13.7,178.26
2017-01-02 10:00:00,161.68,14.03,175.71
2017-01-02 11:00:00,177.86,14.14,192.0
2017-01-02 12:00:00,163.20000000000005,13.06,176.26000000000005
2017-01-02 13:00:00,178.28,14.14,192.42000000000002
2017-01-02 14:00:00,165.24,13.760000000000002,179.0
2017-01-02 15:00:00,170.66,13.46,184.12
2017-01-02 16:00:00,179.60000000000005,14.38,193.98000000000005
2017-01-02 17:00:00,165.29999999999995,14.02,179.31999999999996
2017-01-02 18:00:00,170.82,15.01,185.82999999999998
2017-01-02 19:00:00,146.2,14.7,160.89999999999998
2017-01-02 20:00:00,144.20000000000005,14.23,158.43000000000004
2017-01-02 21:00:00,129.7,13.44,143.14
2017-01-02 22:00:00,71.19999999999997,4.33,75.52999999999997
2017-01-02 23:00:00,78.94,3.69,82.63
2017-01-03 00:00:00,72.10000000000002,3.98,76.08000000000003
2017-01-03 01:00:00,75.06,3.73,78.79
2017-01-03 02:00:00,77.5,4.029999999999999,81.53
2017-01-03 03:00:00,75.0,3.63,78.63
2017-01-03 04:00:00,74.24000000000002,3.6,77.84000000000002
2017-01-03 05:00:00,92.32,6.14,98.46
2017-01-03 06:00:00,194.58,14.659999999999998,209.24
2017-01-03 07:00:00,222.36,18.37,240.73000000000002
2017-01-03 08:00:00,413.28,18.56,431.84
2017-01-03 09:00:00,477.0,18.009999999999994,495.01
2017-01-03 10:00:00,521.96,16.09,538.0500000000001
2017-01-03 11:00:00,523.5,17.71,541.21
2017-01-03 12:00:00,498.86,18.0,516.86
2017-01-03 13:00:00,474.1,18.03,492.13
