timestamp,temperature,dew point temperature,relative humidity,atmospheric pressure,wind speed
2015-01-01 00:00:00,1.5,-12,36.5,1033,16.2
2015-01-01 01:00:00,1,-10.5,42.5,1033,14.4
2015-01-01 02:00:00,1,-11,41,1033,18
2015-01-01 03:00:00,0.5,-11,42.5,1033,14.4
2015-01-01 04:00:00,0,-10.5,46,1033,18
2015-01-01 05:00:00,0,-10,48,1033.5,14.4
2015-01-01 06:00:00,-0.5,-10.5,47.5,1034,16.2
2015-01-01 07:00:00,-0.5,-10,49.5,1034,16.2
2015-01-01 08:00:00,1,-12,38,1035,19.8
2015-01-01 09:00:00,2.5,-12.5,33,1035,23.4
2015-01-01 10:00:00,3.5,-12,32,1035,23.4
2015-01-01 11:00:00,5,-14,24,1033.5,27
2015-01-01 12:00:00,5.5,-14.5,23,1033,28.8
2015-01-01 13:00:00,6,-15.5,20,1032,23.4
2015-01-01 14:00:00,5,-15,23,1033,25.2
2015-01-01 15:00:00,5,-16,21,1033,27
2015-01-01 16:00:00,4.5,-15,23.5,1032.5,21.6
2015-01-01 17:00:00,2.5,-14.5,28,1032.5,14.4
2015-01-01 18:00:00,2,-13.5,31.5,1032,12.6
2015-01-01 19:00:00,2,-13.5,31.5,1033,10.8
2015-01-01 20:00:00,2,-13,33,1033,10.8
2015-01-01 21:00:00,1,-13,35,1033,9
2015-01-01 22:00:00,1,-13,35,1032,9
2015-01-01 23:00:00,0,-12,41,1032,3.6
2015-01-02 00:00:00,-0.5,-8.5,55.5,1031.5,1.8
2015-01-02 01:00:00,-1.5,-8,62,1031.5,3.6
2015-01-02 02:00:00,-1.5,-9,57,1031,1.8
2015-01-02 03:00:00,-2.5,-7.5,69,1031,5.4
2015-01-02 04:00:00,-2,-8,64,1030.5,1.8
2015-01-02 05:00:00,-2.5,-8.5,64,1030,1.8
2015-01-02 06:00:00,-3.5,-8,71.5,1031,3.6
2015-01-02 07:00:00,-1.5,-7.5,64.5,1031,1.8
2015-01-02 08:00:00,2,-7.5,50.5,1032,1.8
2015-01-02 09:00:00,4,-9,38.5,1032,7.2
2015-01-02 10:00:00,5.5,-10.5,31,1032,10.8
2015-01-02 11:00:00,6.5,-12,26,1031,9
2015-01-02 12:00:00,7.5,-12,24,1029.5,10.8
2015-01-02 13:00:00,8.5,-11.5,23.5,1029,10.8
2015-01-02 14:00:00,9,-13,20,1028,12.6
2015-01-02 15:00:00,9,-13.5,19.5,1029,10.8
2015-01-02 16:00:00,7.5,-11,26,1029,10.8
2015-01-02 17:00:00,6.5,-10,30,1029,14.4
2015-01-02 18:00:00,6,-10,31,1029.5,9
